X Position,Y Position,Z Position
0.0,201.3170464512319,5.622806925304635
0.0,200.81739544244112,5.518567725413208
0.0,197.76409002356456,4.848162409865516
0.0,138.7710378781787,-72.76332510883488
0.0,136.70343708705119,-70.64201371630733
0.0,135.59991733421813,-73.17031818201407
0.0,135.60584255205245,-71.4353438361915
0.0,108.9865809946453,-69.52030103030812
0.0,106.99487170699453,-70.19649944194889
0.0,105.39374272150938,-68.05606005102695
0.0,106.14154160368898,-70.85760825010871
0.0,100.34361288434008,-63.58176314009681
0.0,102.44655542198774,-68.79481124275543
